,Unnamed: 0,frame,x,y,photons,sx,sy,bg,lpx,lpy,net_gradient,likelihood,iterations
0,0,0,15.107961,226.29883,101753290.0,2.3712282,2.3712282,798188.4,0.00038265222,0.00038653842,90794184.0,-489633.0,5
1,1,0,15.874130000000001,192.08856,89815140.0,2.265985,2.265985,872384.3,0.0004097246,0.00040105273,91144536.0,-255231.0,4
2,2,0,16.11697,146.49078,119783096.0,2.338808,2.338808,829418.0,0.00033526547,0.00033563815,116058824.0,-704971.0,2
3,3,0,16.93559,112.40249,108648210.0,2.3289263,2.3289263,873725.75,0.00036248605,0.00036263972,106523140.0,-326670.0,2
4,4,0,16.944935,66.78901,125345256.0,2.3408618,2.3408618,827491.75,0.00032476673,0.00032569608,119040210.0,-551543.0,4
5,5,0,17.786698,32.724467,108963496.0,2.322868,2.322868,881225.25,0.00036124513,0.00036182115,105026630.0,-317478.0,4
6,6,0,50.294724,192.8554,81873790.0,2.3194675,2.3194675,857182.56,0.00044385451,0.00044511503,78906250.0,-178228.0,4
7,7,0,51.209218,113.39077999999999,100507790.0,2.2757845,2.2757845,890254.2,0.00037278372,0.00037297234,102373250.0,-264165.0,2
8,8,0,52.085404000000004,33.480757,109556290.0,2.312969,2.312969,889370.44,0.00035786958,0.00035833922,108687336.0,-275155.0,2
9,9,0,58.03674,226.95642,75693770.0,2.338898,2.338898,825841.25,0.00047289592,0.00047469052,71301980.0,-315132.0,4
10,10,0,58.8892,147.49634,93441150.0,2.3036733,2.3036733,847844.5,0.0003962494,0.00039647994,91549470.0,-342184.0,3
11,11,0,59.842420000000004,67.54272,98215050.0,2.3379698,2.3379698,858202.0,0.0003915227,0.00039182056,95004090.0,-307516.0,3
12,12,0,94.8265,227.03139,89697016.0,2.3545282,2.3545282,847851.06,0.00042266058,0.00042461127,83079640.0,-464386.0,4
13,13,0,95.54839,192.82495,84916150.0,2.312107,2.312107,898486.25,0.00043508603,0.00043604587,81989920.0,-153902.0,4
14,14,0,95.67905999999999,147.52453,111733680.0,2.32516,2.32516,870965.4,0.00035414216,0.00035426626,108029450.0,-495464.0,2
15,15,0,96.43163,113.37492,102045500.0,2.2651832,2.2651832,941009.56,0.00037115367,0.0003712688,105478824.0,-190534.0,4
16,16,0,96.67663999999999,67.57243,126328750.0,2.3690085,2.3690085,871790.1,0.00033288824,0.0003330202,118909580.0,-486390.0,3
17,17,0,97.34343,33.521476,104354270.0,2.2839813,2.2839813,944006.0,0.00037175734,0.0003700609,106267270.0,-228108.0,4
18,18,0,130.027154,193.73881,94366830.0,2.287221,2.287221,903786.25,0.00039540618,0.0003961184,93301680.0,-268392.0,4
19,19,0,131.08188,113.90474999999999,112957760.0,2.302383,2.302383,917001.8,0.0003530154,0.00035151953,110605096.0,-452975.0,4
20,20,0,131.81821,34.259173,101994450.0,2.2206354,2.2206354,929113.56,0.00035963187,0.00035938775,106592950.0,-199939.0,4
21,21,0,137.7545,227.8277,85611090.0,2.3203473,2.3203473,877664.0,0.00043232235,0.00043305903,81872776.0,-409261.0,4
